Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Regional Rural Banks",13010559,2316810,15327369,105317.77,3287929,"Summary","2014-12-10"
"Private Sector Banks",1236445,1150103,2386548,40274.25,1593677,"Summary","2014-12-10"
"Grand Total",53127472,36171455,89298927,692422.6,59946626,"Summary","2014-12-10"
"Public Sector Banks",41133558,34479947,75613505,571632.59,60924531,"Summary","2014-12-17"
"Regional Rural Banks",14096956,2540891,16637847,111514.74,4550940,"Summary","2014-12-17"
"Private Sector Banks",1319873,1203842,2523715,44023.31,1700195,"Summary","2014-12-17"
"Grand Total",56550387,38224680,94775067,727170.64,67175666,"Summary","2014-12-17"
"Public Sector Banks",41795238,35254465,77049703,551963.3,65888375,"Summary","2014-12-24"
"Regional Rural Banks",13054297,2654212,15708509,96306.87,6237494,"Summary","2014-12-24"
"Private Sector Banks",1400812,1282797,2683609,46270.4,1939841,"Summary","2014-12-24"
"Grand Total",56250347,39191474,95441821,694540.57,74065710,"Summary","2014-12-24"
"Public Sector Banks",45119636,37971427,83091063,657867.45,73130361,"Summary","2014-12-31"
"Regional Rural Banks",15717860,2792011,18509871,127568.8,9304777,"Summary","2014-12-31"
"Private Sector Banks",1511376,1370159,2881535,49903.87,2195593,"Summary","2014-12-31"
"Grand Total",62348872,42133597,104482469,835340.12,84630731,"Summary","2014-12-31"
"Public Sector Banks",46807919,39410062,86217981,672297.12,77009578,"Summary","2015-01-07"
"Regional Rural Banks",16310149,2889703,19199852,132139.2,10334829,"Summary","2015-01-07"
"Private Sector Banks",1597146,1449414,3046560,50035.06,2289569,"Summary","2015-01-07"
"Grand Total",64715214,43749179,108464393,854471.38,89633976,"Summary","2015-01-07"
"Public Sector Banks",48574913,41074856,89649769,698157.34,82565961,"Summary","2015-01-14"
"Regional Rural Banks",16862226,2985744,19847970,140866.7,11550776,"Summary","2015-01-14"
"Private Sector Banks",1965583,1674411,3639994,50896.25,2736153,"Summary","2015-01-14"
"Grand Total",67402722,45735011,113137733,889920.29,96852890,"Summary","2015-01-14"
"Public Sector Banks",52261449,44209250,96470699,800920.3,89348979,"Summary","2015-01-28"
"Regional Rural Banks",18226849,3245567,21472416,155906.79,14702771,"Summary","2015-01-28"
"Private Sector Banks",3188813,1975091,5163904,64921.2,4517807,"Summary","2015-01-28"
"Grand Total",73677111,49429908,123107019,1021748.29,108569557,"Summary","2015-01-28"
"Public Sector Banks",54018407,45748043,99766450,834558.63,92423911,"Summary","2015-02-04"
"Regional Rural Banks",18756918,3335820,22092738,164641.52,15246580,"Summary","2015-02-04"
"Private Sector Banks",3253732,2036082,5289814,72109.39,4606243,"Summary","2015-02-04"
"Grand Total",76029057,51119945,127149002,1071309.54,112276734,"Summary","2015-02-04"
"Public Sector Banks",55276734,46839053,102115787,890405.25,94653352,"Summary","2015-02-11"
"Regional Rural Banks",19177992,3406194,22584186,171285.02,15671539,"Summary","2015-02-11"
"Private Sector Banks",3292627,2066904,5359531,71658.58,4642353,"Summary","2015-02-11"
"Grand Total",77747353,52312151,130059504,1133348.85,114967244,"Summary","2015-02-11"
"Public Sector Banks",56286827,47756902,104043729,932757.03,96571500,"Summary","2015-02-18"
"Regional Rural Banks",19572221,3465834,23038055,181563.03,16162729,"Summary","2015-02-18"
"Private Sector Banks",3345510,2165576,5511086,73382.06,4973272,"Summary","2015-02-18"
"Grand Total",79204558,53388312,132592870,1187702.12,117707501,"Summary","2015-02-18"
"Public Sector Banks",57449586,48794968,106244554,975379.22,98738635,"Summary","2015-02-25"
"Regional Rural Banks",20016424,3540682,23557106,191456.95,16473516,"Summary","2015-02-25"
"Private Sector Banks",3395596,2262743,5658339,77674.99,5090881,"Summary","2015-02-25"
"Grand Total",80861606,54598393,135459999,1244511.16,120303032,"Summary","2015-02-25"
"Public Sector Banks",58565702,49757277,108322979,1013613.13,101169045,"Summary","2015-03-04"
"Regional Rural Banks",20414463,3633512,24047975,202043.01,16821384,"Summary","2015-03-04"
"Private Sector Banks",3436151,2299161,5735312,79872.81,5144748,"Summary","2015-03-04"
"Grand Total",82416316,55689950,138106266,1295528.95,123135177,"Summary","2015-03-04"
"Public Sector Banks",59404690,50475133,109879823,1049295.75,102604519,"Summary","2015-03-11"
"Regional Rural Banks",20715008,3683855,24398863,209287.77,17039020,"Summary","2015-03-11"
"Private Sector Banks",3464646,2328145,5792791,79845.33,5209112,"Summary","2015-03-11"
"Grand Total",83584344,56487133,140071477,1338428.85,124852651,"Summary","2015-03-11"
"Public Sector Banks",60434513,51287682,111722195,1102461.73,104527405,"Summary","2015-03-18"
"Regional Rural Banks",21081512,3783680,24865192,218815.83,17529659,"Summary","2015-03-18"
"Private Sector Banks",3507339,2374335,5881674,82384.78,5367663,"Summary","2015-03-18"
"Grand Total",85023364,57445697,142469061,1403662.34,127424727,"Summary","2015-03-18"
"Public Sector Banks",61755429,52249580,114005009,1145416.12,106696406,"Summary","2015-03-25"
"Regional Rural Banks",21456966,3864198,25321164,231892.28,17703280,"Summary","2015-03-25"
"Private Sector Banks",3559942,2481925,6041867,86756.21,5517324,"Summary","2015-03-25"
"Grand Total",86772337,58595703,145368040,1464064.61,129917010,"Summary","2015-03-25"
"Public Sector Banks",62535017,52909928,115444945,1218505.25,108110088,"Summary","2015-04-01"
"Regional Rural Banks",21711030,3900824,25611854,257711.1,17822870,"Summary","2015-04-01"
"Private Sector Banks",3598756,2507924,6106680,90813.06,5549767,"Summary","2015-04-01"
"Grand Total",87844803,59318676,147163479,1567029.41,131482725,"Summary","2015-04-01"
"Public Sector Banks",63100171,53281990,116382161,1221560.08,109092981,"Summary","2015-04-08"
"Regional Rural Banks",21954405,3928037,25882442,261166.7,17882257,"Summary","2015-04-08"
"Private Sector Banks",3646643,2548010,6194653,88413.24,5576342,"Summary","2015-04-08"
"Grand Total",88701219,59758037,148459256,1571140.02,132551580,"Summary","2015-04-08"
"Public Sector Banks",63760576,53781810,117542386,1222114.67,109994884,"Summary","2015-04-15"
"Regional Rural Banks",22238759,3958324,26197083,270287.87,18411968,"Summary","2015-04-15"
"Private Sector Banks",3671170,2555402,6226572,87431.64,5614938,"Summary","2015-04-15"
"Grand Total",89670505,60295536,149966041,1579834.18,134021790,"Summary","2015-04-15"
"Public Sector Banks",64458482,54211191,118669673,1235864.71,111130002,"Summary","2015-04-22"
"Regional Rural Banks",22591009,4006223,26597232,273545.23,19082186,"Summary","2015-04-22"
"Private Sector Banks",3694168,2569419,6263587,87127.6,5634326,"Summary","2015-04-22"
"Grand Total",90743659,60786833,151530492,1596537.54,135846514,"Summary","2015-04-22"
"Public Sector Banks",65070940,54669626,119740566,1251399.22,112015782,"Summary","2015-04-29"
"Regional Rural Banks",22923849,4044023,26967872,278248,19460990,"Summary","2015-04-29"
"Private Sector Banks",3726330,2580595,6306925,89592.15,5676794,"Summary","2015-04-29"
"Grand Total",91721119,61294244,153015363,1619239.37,137153566,"Summary","2015-04-29"
"Public Sector Banks",65642473,55142624,120785097,1277408.41,112934775,"Summary","2015-05-06"
"Regional Rural Banks",23246153,4094915,27341068,284886.25,19737052,"Summary","2015-05-06"
"Private Sector Banks",3755639,2589711,6345350,91043.31,5692383,"Summary","2015-05-06"
"Grand Total",92644265,61827250,154471515,1653337.97,138364210,"Summary","2015-05-06"
"Public Sector Banks",66278683,55593423,121872106,1308742.05,113865275,"Summary","2015-05-13"
"Regional Rural Banks",23480124,4127922,27608046,291152.9,19931605,"Summary","2015-05-13"
"Private Sector Banks",3783817,2601365,6385182,91995.6,5760023,"Summary","2015-05-13"
"Grand Total",93542624,62322710,155865334,1691890.55,139556903,"Summary","2015-05-13"
"Public Sector Banks",67045252,56191453,123236705,1329650.65,114943954,"Summary","2015-05-20"
"Regional Rural Banks",23729780,4161940,27891720,298038.23,20122909,"Summary","2015-05-20"
"Private Sector Banks",3824093,2660177,6484270,94281.41,5850649,"Summary","2015-05-20"
"Grand Total",94599125,63013570,157612695,1721970.29,140917512,"Summary","2015-05-20"
"Public Sector Banks",68027481,56826062,124853543,1386756.71,116663249,"Summary","2015-06-03"
"Regional Rural Banks",24179610,4233681,28413291,311481.62,20783824,"Summary","2015-06-03"
"Private Sector Banks",3923253,2761053,6684306,101305.7,5916699,"Summary","2015-06-03"
"Grand Total",96130344,63820796,159951140,1799544.03,143363772,"Summary","2015-06-03"
"Public Sector Banks",68672460,57261088,125933548,1407543.87,117530940,"Summary","2015-06-10"
"Regional Rural Banks",24446810,4264533,28711343,318682.83,20875444,"Summary","2015-06-10"
"Private Sector Banks",3951407,2768003,6719410,103451.48,5935250,"Summary","2015-06-10"
"Grand Total",97070677,64293624,161364301,1829678.18,144341634,"Summary","2015-06-10"
"Public Sector Banks",69305844,57689633,126995477,1435745.58,118478771,"Summary","2015-06-17"
"Regional Rural Banks",24665930,4300236,28966166,325847.93,20992909,"Summary","2015-06-17"
"Private Sector Banks",3969398,2776230,6745628,106861.12,5950068,"Summary","2015-06-17"
"Grand Total",97941172,64766099,162707271,1868454.63,145421748,"Summary","2015-06-17"
"Public Sector Banks",70021698,58180231,128201929,1464021.55,119512387,"Summary","2015-06-24"
"Regional Rural Banks",24960715,4341725,29302440,331564.86,21119474,"Summary","2015-06-24"
"Private Sector Banks",3992425,2781422,6773847,105956,6022921,"Summary","2015-06-24"
"Grand Total",98974838,65303378,164278216,1901542.41,146654782,"Summary","2015-06-24"
"Public Sector Banks",70719134,58686168,129405302,1512869.32,120408987,"Summary","2015-07-01"
"Regional Rural Banks",25112788,4365447,29478235,337592.52,21196032,"Summary","2015-07-01"
"Private Sector Banks",4015649,2791799,6807448,107608.02,6065619,"Summary","2015-07-01"
"Grand Total",99847571,65843414,165690985,1958069.86,147670638,"Summary","2015-07-01"
"Public Sector Banks",71532016,59156595,130688611,1542829.78,121199620,"Summary","2015-07-08"
"Regional Rural Banks",25385596,4397942,29783538,344553.75,21387764,"Summary","2015-07-08"
"Private Sector Banks",4035067,2804887,6839954,111668.62,6089494,"Summary","2015-07-08"
"Grand Total",100952679,66359424,167312103,1999052.15,148676878,"Summary","2015-07-08"
"Public Sector Banks",72362783,59831414,132194197,1569868.37,122485548,"Summary","2015-07-15"
"Regional Rural Banks",25707903,4444039,30151942,349375.67,21891221,"Summary","2015-07-15"
"Private Sector Banks",4061646,2814343,6875989,109592.88,6101736,"Summary","2015-07-15"
"Grand Total",102132332,67089796,169222128,2028836.92,150478505,"Summary","2015-07-15"
"Public Sector Banks",73092101,60295912,133388013,1584579.44,123249962,"Summary","2015-07-22"
"Regional Rural Banks",25986943,4482067,30469010,354313.64,22113960,"Summary","2015-07-22"
"Private Sector Banks",4080180,2820621,6900801,108488.73,6113204,"Summary","2015-07-22"
"Grand Total",103159224,67598600,170757824,2047381.81,151477126,"Summary","2015-07-22"
"Public Sector Banks",74070299,61061886,135132185,1605548.21,124249144,"Summary","2015-07-29"
"Regional Rural Banks",26264865,4527661,30792526,363628.65,22253420,"Summary","2015-07-29"
"Private Sector Banks",4106596,2831110,6937706,107756.07,6127465,"Summary","2015-07-29"
"Grand Total",104441760,68420657,172862417,2076932.93,152630029,"Summary","2015-07-29"
"Public Sector Banks",74813937,61561041,136374978,1727311.53,125420940,"Summary","2015-08-05"
"Regional Rural Banks",26540578,4568799,31109377,368456.14,22748547,"Summary","2015-08-05"
"Private Sector Banks",4134078,2841257,6975335,107500.68,6170497,"Summary","2015-08-05"
"Grand Total",105488593,68971097,174459690,2203268.35,154339984,"Summary","2015-08-05"
"Public Sector Banks",75342325,61889061,137231386,1755684.36,126227320,"Summary","2015-08-12"
"Regional Rural Banks",26830181,4607014,31437195,374807.49,23193629,"Summary","2015-08-12"
"Private Sector Banks",4155707,2849630,7005337,108907.32,6186118,"Summary","2015-08-12"
"Grand Total",106328213,69345705,175673918,2239399.17,155607067,"Summary","2015-08-12"
"Public Sector Banks",76124391,62502892,138627283,1775839.1,126990641,"Summary","2015-08-19"
"Regional Rural Banks",27057190,4638159,31695349,380715.49,23329529,"Summary","2015-08-19"
"Private Sector Banks",4180445,2856455,7036900,108180.24,6195132,"Summary","2015-08-19"
"Grand Total",107362026,69997506,177359532,2264734.83,156515302,"Summary","2015-08-19"
"Public Sector Banks",76917989,63023640,139941629,1793166.31,127652028,"Summary","2015-08-26"
"Regional Rural Banks",27318138,4675190,31993328,387783.36,23487245,"Summary","2015-08-26"
"Private Sector Banks",4202953,2864347,7067300,109118.3,6222099,"Summary","2015-08-26"
"Grand Total",108439080,70563177,179002257,2290067.97,157361372,"Summary","2015-08-26"
"Public Sector Banks",77565426,63462843,141028269,1820709.51,128257533,"Summary","2015-09-02"
"Regional Rural Banks",27621800,4711110,32332910,393902.97,23710652,"Summary","2015-09-02"
"Private Sector Banks",4220781,2831456,7052237,110887.93,6249473,"Summary","2015-09-02"
"Grand Total",109408007,71005409,180413416,2325500.41,158217658,"Summary","2015-09-02"
"Public Sector Banks",78230402,63927143,142157545,1862671.27,128809406,"Summary","2015-09-09"
"Regional Rural Banks",27816149,4738564,32554713,395665.89,24004669,"Summary","2015-09-09"
"Private Sector Banks",4240900,2840053,7080953,111647.13,6270863,"Summary","2015-09-09"
"Grand Total",110287451,71505760,181793211,2369984.29,159084938,"Summary","2015-09-09"
"Public Sector Banks",78937810,64552471,143490281,1890836.31,129425767,"Summary","2015-09-16"
"Regional Rural Banks",28023283,4768612,32791895,405704.36,24100327,"Summary","2015-09-16"
"Private Sector Banks",4252933,2845331,7098264,110596.94,6284391,"Summary","2015-09-16"
"Grand Total",111214026,72166414,183380440,2407137.61,159810485,"Summary","2015-09-16"
"Public Sector Banks",79556419,64921381,144477800,1912912.35,129986131,"Summary","2015-09-23"
"Regional Rural Banks",28280351,4803657,33084008,413297.37,23942102,"Summary","2015-09-23"
"Private Sector Banks",4267336,2852921,7120257,110085.69,6302523,"Summary","2015-09-23"
"Grand Total",112104106,72577959,184682065,2436295.41,160230756,"Summary","2015-09-23"
"Public Sector Banks",80724567,65596662,146321229,1969502.65,131283965,"Summary","2015-10-07"
"Regional Rural Banks",28629751,4844248,33473999,432815.7,24043288,"Summary","2015-10-07"
"Private Sector Banks",4299233,2873312,7172545,112378.52,6346779,"Summary","2015-10-07"
"Grand Total",113653551,73314222,186967773,2514696.87,161674032,"Summary","2015-10-07"
"Public Sector Banks",81536976,66150912,147687888,2019515.23,132147412,"Summary","2015-10-14"
"Regional Rural Banks",28884273,4862427,33746700,437936.4,24150520,"Summary","2015-10-14"
"Private Sector Banks",4312682,2879608,7192290,111904.93,6342531,"Summary","2015-10-14"
"Grand Total",114733931,73892947,188626878,2569356.56,162640463,"Summary","2015-10-14"
"Public Sector Banks",81901564,66464031,148365595,2035434.24,132574894,"Summary","2015-10-21"
"Regional Rural Banks",29092838,4892065,33984903,442082.06,24410741,"Summary","2015-10-21"
"Private Sector Banks",4332182,2885819,7218001,112443.26,6364518,"Summary","2015-10-21"
"Grand Total",115326584,74241915,189568499,2589959.56,163350153,"Summary","2015-10-21"
"Public Sector Banks",82213071,66665004,148878075,2034784.6,132912634,"Summary","2015-10-28"
"Regional Rural Banks",29216380,4906913,34123293,445533.21,24447953,"Summary","2015-10-28"
"Private Sector Banks",4345620,2892545,7238165,111037.85,6391295,"Summary","2015-10-28"
"Grand Total",115775071,74464462,190239533,2591355.66,163751882,"Summary","2015-10-28"
"Public Sector Banks",82677119,67047223,149724342,2069674.93,133384192,"Summary","2015-11-04"
"Regional Rural Banks",29425638,4933814,34359452,452265.62,24464205,"Summary","2015-11-04"
"Private Sector Banks",4363873,2901032,7264905,113569.39,6404873,"Summary","2015-11-04"
"Grand Total",116466630,74882069,191348699,2635509.94,164253270,"Summary","2015-11-04"
"Public Sector Banks",83011648,67346156,150357804,2107829.37,133968057,"Summary","2015-11-11"
"Regional Rural Banks",29539769,4948818,34488587,459294.9,24727641,"Summary","2015-11-11"
"Private Sector Banks",4361076,2905878,7266954,114812.14,6411118,"Summary","2015-11-11"
"Grand Total",116912493,75200852,192113345,2681936.41,165106816,"Summary","2015-11-11"
"Public Sector Banks",83288541,67527396,150815937,2115745.4,134208186,"Summary","2015-11-18"
"Regional Rural Banks",29678684,4963403,34642087,462932.41,24740085,"Summary","2015-11-18"
"Private Sector Banks",4365486,2910262,7275748,115282.67,6417570,"Summary","2015-11-18"
"Grand Total",117332711,75401061,192733772,2693960.48,165365841,"Summary","2015-11-18"
"Public Sector Banks",83596701,67789831,151386532,2119313.19,134546043,"Summary","2015-11-25"
"Regional Rural Banks",29784339,4978030,34762369,462497.66,25045083,"Summary","2015-11-25"
"Private Sector Banks",4369489,2918784,7288273,113834.58,6426326,"Summary","2015-11-25"
"Grand Total",117750529,75686645,193437174,2695645.43,166017452,"Summary","2015-11-25"
"Public Sector Banks",83943596,68046053,151989649,2145031.09,134637812,"Summary","2015-12-02"
"Regional Rural Banks",29872545,4988222,34860767,468338.02,25054313,"Summary","2015-12-02"
"Private Sector Banks",4374508,2924538,7299046,114936.43,6434963,"Summary","2015-12-02"
"Grand Total",118190649,75958813,194149462,2728305.54,166127088,"Summary","2015-12-02"
"Public Sector Banks",84376114,68329510,152705624,2177265.43,134966235,"Summary","2015-12-09"
"Regional Rural Banks",30123559,5012636,35136195,475691.22,25286062,"Summary","2015-12-09"
"Private Sector Banks",4379659,2933791,7313450,116619.58,6444129,"Summary","2015-12-09"
"Grand Total",118879332,76275937,195155269,2769576.23,166696426,"Summary","2015-12-09"
"Public Sector Banks",84827081,68595499,153422580,2201641.16,135350823,"Summary","2015-12-16"
"Regional Rural Banks",30241134,5031661,35272795,484757.88,25540730,"Summary","2015-12-16"
"Private Sector Banks",4387708,2941432,7329140,114839.29,6452950,"Summary","2015-12-16"
"Grand Total",119455923,76568592,196024515,2801238.33,167344503,"Summary","2015-12-16"
"Public Sector Banks",85436733,69005708,154442441,2256980.46,135788111,"Summary","2015-12-23"
"Regional Rural Banks",30395099,5053037,35448136,496818.51,25643573,"Summary","2015-12-23"
"Private Sector Banks",4397099,2947796,7344895,116165.93,6559278,"Summary","2015-12-23"
"Grand Total",120228931,77006541,197235472,2869964.9,167990962,"Summary","2015-12-23"
"Public Sector Banks",86052376,69321788,155374164,2303485.89,136144105,"Summary","2015-12-30"
"Regional Rural Banks",30585647,5068648,35654295,502566.1,25740040,"Summary","2015-12-30"
"Private Sector Banks",4401890,2954184,7356074,116504.26,6567229,"Summary","2015-12-30"
"Grand Total",121039913,77344620,198384533,2922556.25,168451374,"Summary","2015-12-30"
"Public Sector Banks",87055555,69914136,156969691,2345651.29,136734335,"Summary","2016-01-06"
"Regional Rural Banks",30781274,5081912,35863186,514878.58,25785025,"Summary","2016-01-06"
"Private Sector Banks",4408683,2961871,7370554,120376.97,6621503,"Summary","2016-01-06"
"Grand Total",122245512,77957919,200203431,2980906.84,169140863,"Summary","2016-01-06"
"Public Sector Banks",88128862,70365325,158494187,2375397.07,137451168,"Summary","2016-01-13"
"Regional Rural Banks",30935505,5111286,36046791,520344.77,26097303,"Summary","2016-01-13"
"Private Sector Banks",4454332,2946752,7401084,115103.35,6954154,"Summary","2016-01-13"
"Grand Total",123518699,78423363,201942062,3010845.19,170502625,"Summary","2016-01-13"
"Public Sector Banks",89092139,71017793,160109932,2418079,138159251,"Summary","2016-01-20"
"Regional Rural Banks",31153389,5133788,36287177,528666.49,26221463,"Summary","2016-01-20"
"Private Sector Banks",4463800,2956678,7420478,117083.17,6969920,"Summary","2016-01-20"
"Grand Total",124709328,79108259,203817587,3063828.66,171350634,"Summary","2016-01-20"
"Public Sector Banks",89537898,71298083,160835981,2427730.84,138621275,"Summary","2016-01-27"
"Regional Rural Banks",31248470,5153529,36401999,535818.33,26389394,"Summary","2016-01-27"
"Private Sector Banks",4478240,2962470,7440710,116097.14,6971159,"Summary","2016-01-27"
"Grand Total",125264608,79414082,204678690,3079646.31,171981828,"Summary","2016-01-27"
"Public Sector Banks",90840167,72008795,162848962,2559133.92,139444104,"Summary","2016-02-10"
"Regional Rural Banks",31602842,5204456,36807298,556878.06,26412323,"Summary","2016-02-10"
"Private Sector Banks",4506136,2988557,7494693,121864.11,7061132,"Summary","2016-02-10"
"Grand Total",126949145,80201808,207150953,3237876.09,172917559,"Summary","2016-02-10"
"Public Sector Banks",91633932,72589829,164223761,2586968.7,140029339,"Summary","2016-02-17"
"Regional Rural Banks",31774506,5221207,36995713,563741.58,26519083,"Summary","2016-02-17"
"Private Sector Banks",4525673,2996764,7522437,122361.84,7087634,"Summary","2016-02-17"
"Grand Total",127934111,80807800,208741911,3273072.12,173636056,"Summary","2016-02-17"
"Public Sector Banks",92238015,73014075,165252090,2609405.38,140821948,"Summary","2016-02-24"
"Regional Rural Banks",31932869,5278875,37211744,575643.67,26653022,"Summary","2016-02-24"
"Private Sector Banks",4537976,3004730,7542706,122439.85,7089897,"Summary","2016-02-24"
"Grand Total",128708860,81297680,210006540,3307488.9,174564867,"Summary","2016-02-24"
"Public Sector Banks",92737330,73361955,166099285,2647866.84,141107714,"Summary","2016-03-02"
"Regional Rural Banks",32081591,5292020,37373611,581412.74,26694059,"Summary","2016-03-02"
"Private Sector Banks",4563580,3018293,7581873,123930.53,7138578,"Summary","2016-03-02"
"Grand Total",129382501,81672268,211054769,3353210.11,174940351,"Summary","2016-03-02"
"Public Sector Banks",93320554,73770741,167091295,2710822.18,141797818,"Summary","2016-03-09"
"Regional Rural Banks",32204636,5311619,37516255,588377.42,26719416,"Summary","2016-03-09"
"Private Sector Banks",4582643,3025173,7607816,126807.85,7168153,"Summary","2016-03-09"
"Grand Total",130107833,82107533,212215366,3426007.45,175685387,"Summary","2016-03-09"
"Public Sector Banks",93708050,74022126,167730176,2752153.38,142287617,"Summary","2016-03-16"
"Regional Rural Banks",32393009,5329674,37722683,603683.47,26745552,"Summary","2016-03-16"
"Private Sector Banks",4650528,3031321,7681849,128328.5,7233312,"Summary","2016-03-16"
"Grand Total",130751587,82383121,213134708,3484165.35,176266481,"Summary","2016-03-16"
"Public Sector Banks",94022041,74244529,168266570,2774164.4,142732113,"Summary","2016-03-23"
"Regional Rural Banks",32468472,5345141,37813613,613910.97,26808810,"Summary","2016-03-23"
"Private Sector Banks",4717144,3036959,7754103,133616.83,7290281,"Summary","2016-03-23"
"Grand Total",131207657,82626629,213834286,3521692.2,176831204,"Summary","2016-03-23"
"Public Sector Banks",94292464,74165273,168457737,2813916.93,143155970,"Summary","2016-03-30"
"Regional Rural Banks",32571057,5357511,37928568,617811.88,26935193,"Summary","2016-03-30"
"Private Sector Banks",4843513,3045656,7889169,135471.91,7438509,"Summary","2016-03-30"
"Grand Total",131707034,82568440,214275474,3567200.72,177529672,"Summary","2016-03-30"
"Public Sector Banks",94544725,74604177,169148902,2884820.19,143328907,"Summary","2016-04-06"
"Regional Rural Banks",32664245,5366097,38030342,635960.24,26989510,"Summary","2016-04-06"
"Private Sector Banks",4900162,3058433,7958595,139223.87,7505878,"Summary","2016-04-06"
"Grand Total",132109132,83028707,215137839,3660004.3,177824295,"Summary","2016-04-06"
"Public Sector Banks",94752404,74776531,169528935,2890509.89,143589325,"Summary","2016-04-13"
"Regional Rural Banks",32759343,5382006,38141349,642659.34,27035937,"Summary","2016-04-13"
"Private Sector Banks",4903147,3061823,7964970,139233.96,7514184,"Summary","2016-04-13"
"Grand Total",132414894,83220360,215635254,3672403.19,178139446,"Summary","2016-04-13"
"Public Sector Banks",94957540,74933655,169891195,2887671.95,143691739,"Summary","2016-04-20"
"Regional Rural Banks",32861247,5395711,38256958,648021.36,26620603,"Summary","2016-04-20"
"Private Sector Banks",4908550,3066478,7975028,140236.85,7511612,"Summary","2016-04-20"
"Grand Total",132727337,83395844,216123181,3675930.16,177823954,"Summary","2016-04-20"
